name,serial_number,model,status,capacity
Sky Jet,SU-A001,Airbus A320,Available,180
Sky Wing,SU-A002,Boeing 777,Available,350
Sky Cruiser,SU-A003,Boeing 737,Available,160
Sky Runner,SU-A004,Airbus A330,Available,280
Sky dive,SU-A006,457,Available,400
Sky Arrow,SU-A006,Airbus A380,Active,520
Sky Bird,SU-A007,Embraer E190,Active,100
Sky One,SU-A008,Boeing 787,Grounded,240
Sky Express,SU-A009,Airbus A350,Active,300
Sky Explorer,SU-A010,Bombardier CRJ900,Active,90
Aero Jet,SU-A011,Airbus A320,Active,180
Aero Wing,SU-A012,Boeing 777,Maintenance,350
Aero Cruiser,SU-A013,Boeing 737,Active,160
Aero Runner,SU-A014,Airbus A330,Active,280
Aero Spirit,SU-A015,Boeing 747,Active,410
Aero Arrow,SU-A016,Airbus A380,Standby,520
Aero Bird,SU-A017,Embraer E190,Active,100
Aero One,SU-A018,Boeing 787,Active,240
Aero Express,SU-A019,Airbus A350,Grounded,300
Aero Explorer,SU-A020,Bombardier CRJ900,Active,90
Nile Jet,SU-A021,Airbus A320,Active,180
Nile Wing,SU-A022,Boeing 777,Active,350
Nile Cruiser,SU-A023,Boeing 737,Maintenance,160
Nile Runner,SU-A024,Airbus A330,Active,280
Nile Spirit,SU-A025,Boeing 747,Standby,410
Nile Arrow,SU-A026,Airbus A380,Active,520
Nile Bird,SU-A027,Embraer E190,Active,100
Nile One,SU-A028,Boeing 787,Active,240
Nile Express,SU-A029,Airbus A350,Active,300
Nile Explorer,SU-A030,Bombardier CRJ900,Maintenance,90
Desert Jet,SU-A031,Airbus A320,Active,180
Desert Wing,SU-A032,Boeing 777,Active,350
Desert Cruiser,SU-A033,Boeing 737,Active,160
Desert Runner,SU-A034,Airbus A330,Active,280
Desert Spirit,SU-A035,Boeing 747,Standby,410
Desert Arrow,SU-A036,Airbus A380,Active,520
Desert Bird,SU-A037,Embraer E190,Grounded,100
Desert One,SU-A038,Boeing 787,Active,240
Desert Express,SU-A039,Airbus A350,Active,300
Desert Explorer,SU-A040,Bombardier CRJ900,Active,90
Ocean Jet,SU-A041,Airbus A320,Maintenance,180
Ocean Wing,SU-A042,Boeing 777,Active,350
Ocean Cruiser,SU-A043,Boeing 737,Active,160
Ocean Runner,SU-A044,Airbus A330,Active,280
Ocean Spirit,SU-A045,Boeing 747,Standby,410
Ocean Arrow,SU-A046,Airbus A380,Active,520
Ocean Bird,SU-A047,Embraer E190,Active,100
Ocean One,SU-A048,Boeing 787,Grounded,240
Ocean Express,SU-A049,Airbus A350,Active,300
Ocean Explorer,SU-A050,Bombardier CRJ900,Active,90
Star Jet,SU-A051,Airbus A320,Active,180
Star Wing,SU-A052,Boeing 777,Maintenance,350
Star Cruiser,SU-A053,Boeing 737,Active,160
Star Runner,SU-A054,Airbus A330,Active,280
Star Spirit,SU-A055,Boeing 747,Active,410
Star Arrow,SU-A056,Airbus A380,Standby,520
Star Bird,SU-A057,Embraer E190,Active,100
Star One,SU-A058,Boeing 787,Active,240
Star Express,SU-A059,Airbus A350,Active,300
Star Explorer,SU-A060,Bombardier CRJ900,Maintenance,90
Global Jet,SU-A061,Airbus A320,Active,180
Global Wing,SU-A062,Boeing 777,Active,350
Global Cruiser,SU-A063,Boeing 737,Active,160
Global Runner,SU-A064,Airbus A330,Maintenance,280
Global Spirit,SU-A065,Boeing 747,Standby,410
